date,file_type,ticker,name,close,mode,mode_css,revl,mom,r,days,tr_weeks,pl_raw,pl_num,signal_type
2026-04-16,daily,CCCC,C4 Therapeutics,2.89,Bear-Bull Flip,c20,2.56,1.4,-0.55,3,6,-14.91%,-14.91,Buy
2026-04-16,daily,CCO,Clear Channel Outdoor,2.41,Bear-Bull Flip,c20,2.36,0.84,0.98,12,33,-2.12%,-2.12,Buy
2026-04-16,daily,CDNA,Caredx Inc,17.57,Light Red,c7,17.89,-1.09,-0.13,4,4,-5.27%,-5.27,dBuy
2026-04-16,daily,CDXS,Codexis Inc,2.46,Dark Green,c4,1.77,9.27,-1.17,28,0,+100.00%,100.0,pP+
2026-04-16,daily,CEVA,Ceva Inc,22.15,Dark Green,c4,19.45,5.46,-0.81,9,20,+17.44%,17.44,pP
2026-04-16,daily,CHA,Chagee Holdings,10.46,Bear-Bull Flip,c20,9.9,0.25,-1.32,17,25,+1.60%,1.6,Buy
2026-04-16,daily,CHGG,Chegg Inc,1.09,Dark Green,c4,0.7,9.15,-1.35,12,23,+55.71%,55.71,pP+
2026-04-16,daily,CHT,Chunghwa Telecom Co,42.93,Bear-Bull Flip,c20,42.11,0.17,-0.36,17,3,-1.61%,-1.61,Buy
2026-04-16,daily,CIG,Cia Energetica de Minas Gerais,2.67,Light Green,c5,2.46,9.19,0.54,18,11,+16.09%,16.09,pP
2026-04-16,daily,CMBT,CMB.Tech,13.11,Bear-Bull Flip,c20,12.6,0.78,0.97,6,28,-3.88%,-3.88,Buy
2026-04-16,daily,COUR,Coursera,6.15,Bear-Bull Flip,c20,5.71,-0.7,-1.12,25,26,-1.49%,-1.49,Buy
2026-04-16,daily,CRON,Cronos Group,2.72,Bear-Bull Flip,c20,2.51,2.04,0.3,12,3,-9.24%,-9.24,Buy
2026-04-16,daily,CSTM,Constellium NV,29.65,Light Green,c5,26.23,8.79,1.32,9,47,+11.89%,11.89,pP
2026-04-16,daily,CTBI,Community Trust Bancorp,66.15,Dark Green,c4,60.79,6.69,0.41,9,18,+8.92%,8.92,pP
2026-04-16,daily,DAC,Danaos Corp,116.25,Light Green,c5,113.31,2.99,0.62,9,22,+2.42%,2.42,dSell
2026-04-16,daily,DAVA,Endava plc,4.72,Bear-Bull Flip,c20,4.41,-0.99,-1.5,25,59,+6.90%,6.9,Buy
2026-04-16,daily,DBRG,DigitalBridge,15.59,Dark Green,c4,15.45,7.27,0.71,10,18,+1.04%,1.04,pP
2026-04-16,daily,DCO,Ducommun,141.35,Dark Green,c4,128.65,8.08,1.16,9,48,+13.71%,13.71,pP
2026-04-16,daily,DFTX,Definium Therapeutics,22.15,Light Green,c5,19.82,7.03,1.25,39,46,+29.00%,29.0,dSell
2026-04-16,daily,DNUT,Krispy Kreme,3.46,Bear-Bull Flip,c20,3.29,-0.65,-0.85,12,12,-5.81%,-5.81,Buy
2026-04-16,daily,DOO,BRP Inc,50.93,Bull-Bear Flip,c18,72.51,3.18,0.62,10,1,-28.97%,-28.97,Sell
2026-04-16,daily,DOX,Amdocs Ltd,65.47,Light Red,c7,67.07,-1.09,-0.87,52,37,+18.58%,18.58,dBuy
2026-04-16,daily,DRS,Leonardo DRS,46.29,Light Green,c5,44.39,2.8,0.45,35,13,+5.64%,5.64,dSell
